Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,85.20302821748106,79.97747716083168,84.46623669138717,81.4790494299654,3.183272361755371
Decition Tree,56.98554714384033,57.24794973371337,59.53555025847243,55.1273966618117,2.433786153793335
Random Forest,77.59807295251204,72.21579026742512,77.32847779176791,72.45914343433557,7.894037961959839
SVM: {linear},62.009635237439774,59.81711768896657,62.38357030704551,55.68611713528778,302.57226753234863
"SVM: {gamma=2, C=1}",89.53888506538196,86.95351772068,88.53747280931022,87.63120691830174,95.88781476020813
SVM: {kernel=rbf},86.99242945629732,82.53611840032423,86.05972609293126,83.95061870443357,118.81485915184021
MLP,64.45285615966965,58.76658222456583,63.09176050959321,56.715157466086275,133.28562188148499
Gaussian Naive Baye,62.112869924294564,58.72539394513754,62.5475779941854,57.505140770788174,0.18424487113952637
Linear Discriminant Analysis,70.16517549896766,65.75071271499142,72.64830278355895,65.86457729959254,3.086440324783325
Quadratic Discriminant Analysis,57.15760495526497,46.40598081503602,55.204828966608886,48.65629888025234,3.7740299701690674
AdaBoost,37.50860289057123,38.44073085621712,42.86144614771814,32.97229838642952,27.501545667648315
GradientBoosting,78.94012388162423,75.80118991318531,78.79779177295217,77.01861308738104,1843.8375837802887
XGBoost,96.2835512732278,95.62084597537026,95.45219257275576,95.52992074855553,165.7928168773651
