Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,84.89332415691673,81.35933423898703,80.14421427725699,80.37546307535789,1.214155912399292
Decition Tree,61.97522367515486,66.62593236725121,52.16681375488499,54.1455892903397,0.8179035186767578
Random Forest,75.12044046799726,67.75116139782237,59.95570833594351,60.5368550823018,2.2478673458099365
SVM: {linear},65.41637990364762,62.270593654085026,48.63478364193708,47.59990019932221,31.487891912460327
"SVM: {gamma=2, C=1}",90.26152787336545,88.39119753949865,86.50755868638079,87.30796262064402,19.084545850753784
SVM: {kernel=rbf},83.27598072952512,79.1098555762773,76.74089095312476,77.7206106979871,19.991209030151367
MLP,71.67928423950447,62.0012921758897,56.43452172825821,56.61119160030875,16.36278986930847
Gaussian Naive Baye,61.906400550585,58.38618010046094,62.911898602643,56.77877197941923,0.14067864418029785
Linear Discriminant Analysis,80.45423262216104,74.6665217633403,77.53067194064268,74.98670387838867,0.9648783206939697
Quadratic Discriminant Analysis,62.2849277357192,54.14618665848128,56.96530222316034,52.719765701631886,1.957658052444458
AdaBoost,43.977976600137644,38.57613645562833,36.12291021714983,29.32017580570145,9.285261631011963
GradientBoosting,88.02477632484515,84.63412281512431,84.4873984556959,84.53004620968964,612.1439752578735
XGBoost,96.49002064693737,95.8515984340784,94.85738895349539,95.32068207060426,70.03993463516235
