Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,84.92773571920165,78.97554837991316,83.45846260457876,80.50304318758326,2.8620927333831787
Decition Tree,58.60289057123194,62.1330848025495,56.51140519149265,55.330602479344456,2.5428314208984375
Random Forest,78.1486579490709,72.76765528746806,78.16088100418581,73.71829753015301,7.734203100204468
SVM: {linear},71.61046111493462,65.68199121907658,71.8604161924447,65.30134501864366,231.17447233200073
"SVM: {gamma=2, C=1}",92.39504473503098,89.97289109389163,90.99095771753356,90.29035995329379,74.7849497795105
SVM: {kernel=rbf},87.09566414315209,81.68986108416041,86.22534871819187,83.16796314727209,118.37185311317444
MLP,73.29662766689607,67.07734093732938,72.41960963849412,67.15726602103416,74.642653465271
Gaussian Naive Baye,63.42050929112182,59.4721090487503,64.23627528154768,58.88834992255235,0.2688162326812744
Linear Discriminant Analysis,78.9057123193393,72.49027189228435,79.42218165126835,74.01617984603749,3.703538179397583
Quadratic Discriminant Analysis,67.48107364074329,65.87508916658298,66.28405987524448,64.39814039286614,5.048653841018677
AdaBoost,47.28148657949071,42.69738597266603,49.12408673174803,40.58885156957424,33.61382484436035
GradientBoosting,85.03097040605644,81.8039182223426,84.43860903276705,82.71994284622262,2174.576658964157
XGBoost,96.86854783207157,95.97306296726615,96.17284999249337,96.068133927775,198.59639692306519
