Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,51.032346868547826,44.73793553168803,48.17240863724773,45.11014521904471,0.21715450286865234
Decition Tree,38.781830695113555,42.285931437811044,42.46649897232279,32.6853648385151,0.2751588821411133
Random Forest,43.59944941500344,45.57763177841706,46.14786925855247,36.299483672092286,4.012711048126221
SVM: {linear},38.91947694425327,34.00896625276722,40.57062464492526,30.591014748247396,40.93625211715698
"SVM: {gamma=2, C=1}",56.12525808671713,51.28926671049629,55.83153309170934,49.95324526497445,29.208826303482056
SVM: {kernel=rbf},55.78114246386786,51.070177086203614,55.757140770655155,49.69547948335526,29.13101315498352
MLP,45.73296627666896,41.488914578443406,45.26013696879975,36.120861295650805,11.60396671295166
Gaussian Naive Baye,38.093599449415,34.54773321757697,36.34679809716431,28.0289390895685,0.02218484878540039
Linear Discriminant Analysis,53.165863730213346,50.60683677694768,55.30876603651333,48.26716894439695,0.08859825134277344
Quadratic Discriminant Analysis,54.98967653131452,53.20564537967258,55.22211356765296,48.5131176628696,0.03047490119934082
AdaBoost,25.567790777701312,31.54179523383881,30.12473758216222,21.904302303757156,3.920541286468506
GradientBoosting,19.752236751548523,28.7711569234286,27.253072527832746,21.595826684353884,199.76313161849976
XGBoost,59.77288368891948,51.27124327588653,54.521014103841814,52.287027859258274,27.79539155960083
