Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,42.463867859600825,31.934479943659973,31.206818628946063,31.000911829651617,0.12456798553466797
Decition Tree,42.463867859600825,30.36536933596578,31.250416454437723,28.10969987721052,0.03792929649353027
Random Forest,42.60151410874053,33.10100839716474,26.659213767388096,25.053144158279693,0.8471930027008057
SVM: {linear},31.555402615278734,13.388007738831515,13.121713291498056,8.267821936759232,5.174119710922241
"SVM: {gamma=2, C=1}",40.089470061940816,27.222295640455425,23.751014784041118,20.467656193695067,6.2964558601379395
SVM: {kernel=rbf},40.88093599449415,28.45506090031532,24.666917281113587,21.901701033531356,5.9505040645599365
MLP,35.61596696490021,17.356952828435606,17.90460913639173,13.996374689767501,3.080064296722412
Gaussian Naive Baye,16.3799036476256,27.606861099524266,21.962805984599402,14.670022613576439,0.02820110321044922
Linear Discriminant Analysis,37.955953200275296,23.220596785195465,22.062081019723216,18.576794580848816,0.03365302085876465
Quadratic Discriminant Analysis,16.792842395044737,32.26639208365053,24.58050076290451,16.247412829711642,0.016075611114501953
AdaBoost,40.708878183069515,28.53983024250832,30.821986848762688,27.55758023288563,0.7821767330169678
GradientBoosting,33.86097728836889,24.876731640453237,25.927450635657983,24.737643331989172,34.04526138305664
XGBoost,45.492085340674464,35.24367796141398,33.73180025434258,33.782430732188075,7.397882461547852
