Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,32.79421885753614,28.895385553119564,29.891416806542587,27.981559589435946,0.14899635314941406
Decition Tree,33.37921541637991,29.680060069391818,31.827449504576,27.664856227862217,0.1339273452758789
Random Forest,40.605643496214725,36.46532756711072,38.10491784859311,29.96641611156011,2.7810873985290527
SVM: {linear},36.373021335168616,30.624587348801192,20.731590187551827,18.32599174159604,50.12160062789917
"SVM: {gamma=2, C=1}",41.12181693048864,33.66249191525831,33.304821756655215,28.960086103245086,49.49917960166931
SVM: {kernel=rbf},41.810048176187195,35.58251628992447,35.01249889263519,30.58711751853611,43.16773223876953
MLP,31.693048864418444,24.873175041739803,26.981311623947484,20.908260293871866,3.894789457321167
Gaussian Naive Baye,12.112869924294563,25.0040227572341,21.927667347143856,13.627812078195994,0.0209500789642334
Linear Discriminant Analysis,32.55333792154163,28.485013798456688,30.55621706364583,27.1347003509109,0.05638241767883301
Quadratic Discriminant Analysis,15.554026152787337,32.49398633742367,24.272587237838756,15.807972447748087,0.020946025848388672
AdaBoost,36.063317274604266,28.929207609384488,30.62473304762902,25.98331271202106,1.7116165161132812
GradientBoosting,24.088093599449415,20.660285323017153,18.892780070273908,17.009850816462325,104.59636354446411
XGBoost,42.0509291121817,34.276585320265276,36.83603417869223,34.28064238162009,31.778339624404907
