Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,84.68685478320715,78.90270973897246,82.80525110430752,80.33454399053731,2.2600889205932617
Decition Tree,59.394356503785275,58.64610495797577,59.79672722481768,57.15592529765263,2.222109794616699
Random Forest,79.07777013076394,73.69181117527498,79.31729060581236,74.9936453428185,7.123384475708008
SVM: {linear},70.68134893324157,64.47563650659592,70.64668418456266,64.57450751367809,227.37853026390076
"SVM: {gamma=2, C=1}",91.53475567790778,89.01673319075474,89.97828543356589,89.39616327878088,64.10121178627014
SVM: {kernel=rbf},86.57949070887818,81.38913792801743,84.9273259733907,82.80708786057545,106.5272786617279
MLP,74.36338609772884,68.05913817725215,73.07393933436269,68.20260655304018,71.6969301700592
Gaussian Naive Baye,62.25051617343428,59.1783898083428,64.6630112231091,58.35659142367842,0.23946738243103027
Linear Discriminant Analysis,79.86923606331727,73.75847735441155,80.83896776449825,75.91307243169354,3.2405173778533936
Quadratic Discriminant Analysis,65.48520302821747,65.95925188276722,65.32037437104937,63.15731045735237,3.4242818355560303
AdaBoost,28.630419821059878,33.03115888615585,36.007517007830444,24.72512002474174,30.064727067947388
GradientBoosting,83.72333103922918,82.38183094119314,81.9190662894949,81.6024688745248,2102.420793771744
XGBoost,96.45560908465244,95.70271463713757,95.48375036766389,95.5622303020235,201.09874081611633
