,Classifier,Accuracy,Precision,Recall,F1_Score
0,KNeighborsClassifier,84.99655884377151,79.47894401836999,83.60657413694258,80.9959206566488
1,DecisionTreeClassifier,58.29318651066758,65.82620538011668,55.40223207573182,55.94036032954668
2,RandomForestClassifier,78.42395044735031,73.18026684783928,78.78763628288496,74.37856538996598
3,SVC,70.75017205781143,64.64392685890752,70.81892260022641,64.72206983530774
4,SVC,91.63799036476256,89.54402699600831,90.17871097540896,89.78084151913913
5,SVC,86.71713695801789,81.6830654285117,85.22397837948306,83.09073062723536
6,MLPClassifier,73.5719201651755,67.12898393425604,73.2144557706264,67.51490820763324
7,GaussianNB,62.009635237439774,58.86712231093495,64.47046966432441,58.123724549045164
8,QuadraticDiscriminantAnalysis,65.10667584308327,65.49149372688825,63.30091551958348,60.98170842830657
9,AdaBoostClassifier,31.79628355127323,34.40786800924968,38.33707903018085,29.483647748977205
10,GradientBoostingClassifier,87.74948382656572,85.45077429713892,86.38260605228062,85.80539438451943
11,XGBClassifier,96.21472814865794,95.17199836533878,95.21575146230762,95.17247706088212
