Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time,Method
KNN,85.20302822,79.97747716,84.46623669,81.47904943,3.183272362,SMOTE
Random Forest,77.59807295,72.21579027,77.32847779,72.45914343,7.894037962,SMOTE
"SVM: {gamma=2, C=1}",89.53888507,86.95351772,88.53747281,87.63120692,95.88781476,SMOTE
MLP,64.45285616,58.76658222,63.09176051,56.71515747,133.2856219,SMOTE
XGBoost,96.28355127,95.62084598,95.45219257,95.52992075,165.7928169,SMOTE
KNN,83.92980041,80.99488614,80.32492405,80.08841867,1.116209745,NOT_SMOTE
Random Forest,75.32690984,68.59079953,60.14308791,60.6453202,2.106262445,NOT_SMOTE
"SVM: {gamma=2, C=1}",87.23331039,85.86523287,82.9429798,84.24557705,27.85875726,NOT_SMOTE
MLP,63.93668273,49.68809224,47.60466724,46.50410266,74.72372556,NOT_SMOTE
XGBoost,96.45560908,95.92937782,95.42167246,95.6649317,68.19506001,NOT_SMOTE
