Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time,Method
KNN,51.03234687,44.73793553,48.17240864,45.11014522,0.217154503,NOT_SMOTE
Random Forest,43.59944942,45.57763178,46.14786926,36.29948367,4.012711048,NOT_SMOTE
MLP,45.73296628,41.48891458,45.26013697,36.1208613,11.60396671,NOT_SMOTE
"SVM: {gamma=2, C=1}",56.12525809,51.28926671,55.83153309,49.95324526,29.2088263,NOT_SMOTE
XGBoost,59.77288369,51.27124328,54.5210141,52.28702786,27.79539156,NOT_SMOTE
KNN,57.43289745,47.11271037,47.35636139,46.94279695,0.135123491,SMOTE
Random Forest,50.89470062,39.22899627,36.60672548,35.09204321,1.254142284,SMOTE
"SVM: {gamma=2, C=1}",58.49965588,44.64412542,45.84523204,44.53957477,4.57798028,SMOTE
MLP,50.41293875,29.38115127,33.1983902,28.97120427,4.044778824,SMOTE
XGBoost,60.97728837,51.04780531,50.45125263,50.20676393,19.11876297,SMOTE
